,SB
661,0.0002500115369912237
662,5.3377898439066485e-05
663,0.00032759917667135596
664,0.001314974040724337
665,2.1709251996071544e-07
666,2.6759928459796356e-06
667,0.006106068380177021
668,0.00101086450740695
669,4.063303649104455e-08
670,2.8806641694245627e-07
671,4.026226818609757e-08
672,6.173550900712144e-06
673,9.7827603440237e-07
674,0.00013917415344621986
675,0.0001497233024565503
676,0.00012443040031939745
677,6.811950879637152e-05
678,2.831590609275736e-05
679,8.888449976041102e-09
680,0.00023440984659828246
681,4.681627160607604e-06
682,8.406014551098906e-09
683,4.138171334489016e-07
684,5.829718374705806e-10
685,7.955307940177292e-11
686,4.788022852153517e-05
687,0.0005750907002948225
688,3.099521927651949e-05
689,1.2432357721081644e-07
690,0.001811276189982891
691,0.17834000289440155
692,0.0003369284968357533
693,0.00023913555196486413
694,1.2336019608483184e-05
695,2.187652626162162e-06
696,2.643243306010845e-06
697,0.00017733241838868707
698,6.144616548908743e-08
699,6.428025667304382e-09
700,5.447762241317378e-09
701,2.2695332972944016e-06
702,5.907011654926464e-06
703,1.8188933381679817e-06
704,1.0125611879630014e-05
705,3.5222004157731135e-07
706,7.756781997159123e-06
707,2.164963461837033e-06
708,1.7460002709412947e-05
709,5.605247224593768e-06
710,4.096784323337488e-05
711,0.0010857856832444668
712,6.013082298750305e-08
713,1.794468744265032e-06
714,0.00046841305447742343
715,9.399057603332039e-07
716,1.499670077009796e-07
717,1.0117137207998894e-05
718,1.6481683928759594e-07
719,1.2285887351026759e-05
720,1.0321226000087336e-05
721,0.0012076032580807805
722,1.2137849125792854e-06
723,0.000132010318338871
724,1.4776142620576138e-07
725,1.5773307993072194e-08
726,8.770277418079786e-06
727,1.4784507840204242e-08
728,8.965146844275296e-05
729,0.010372270829975605
730,2.3046281057759188e-05
731,1.1338947842887137e-05
732,0.010830208659172058
733,7.787693903082982e-07
734,1.6919966583373025e-06
735,2.144305568663185e-07
736,0.0025630653835833073
737,1.198458107865008e-06
738,1.003114562081464e-06
739,3.2844734960235655e-05
740,8.614545663476747e-07
741,6.518675945699215e-05
742,3.438114390519331e-06
743,0.006325264926999807
744,7.563069630123209e-06
745,4.480553457142378e-07
746,1.8326863937545568e-05
747,3.954636486014351e-05
748,2.4083246330519614e-07
749,1.2413804029165476e-07
750,0.001885307370685041
751,1.1833101325464668e-06
752,7.940028012853872e-07
753,7.165942861320218e-07
754,1.47838886732643e-06
755,5.094534571981058e-07
756,9.755816599010814e-09
757,2.998533545905957e-06
758,0.00020570389460772276
759,1.840841264311166e-06
760,7.066059026783478e-08
761,5.266403604764491e-05
762,0.00142499094363302
763,1.8186687157140113e-05
764,8.511001215083525e-05
765,6.076218710404646e-07
766,1.322244406765094e-05
767,4.834786523133516e-06
768,0.0005214736447669566
769,1.0058192856376991e-07
770,0.0051291040144860744
771,2.1701975327914624e-08
772,4.399269073473988e-06
773,0.00017883969121612608
774,7.106583552740631e-07
775,5.830344207424787e-07
776,2.5895189992297674e-06
777,8.44998382376616e-08
778,1.1022412849115426e-07
779,2.725686317717191e-05
780,4.4355471118251444e-07
781,5.241087563945257e-10
782,0.0006687791319563985
783,1.6335225154762156e-06
784,7.401866605505347e-05
785,6.061824251446524e-07
786,1.7404192476533353e-05
787,0.000199079979211092
788,0.0038406038656830788
789,2.024188870564103e-05
790,3.7644808799086604e-06
791,0.0002916215162258595
792,0.00011875745258294046
793,1.9345987034569134e-09
794,1.0421185692166546e-08
795,3.4775788662955165e-05
796,4.863214826400508e-07
797,0.00023292483820114285
798,3.24710963468533e-05
799,9.893454262055457e-05
800,1.5365850458692876e-06
801,6.721653988961407e-08
802,6.995001911036525e-08
803,1.0748340173449833e-06
804,3.269017906859517e-05
805,7.993889425961243e-07
806,5.1861324124047314e-08
807,3.422264782670936e-08
808,2.4650589125485567e-08
809,6.702604423480807e-06
810,1.171216240436479e-06
811,2.945039886981249e-05
812,2.4068032900004255e-08
813,9.595301442288928e-09
814,0.0036155960988253355
815,1.271227483812254e-05
816,0.00044568124576471746
817,1.7233340940947528e-06
818,1.4080566934637773e-08
819,8.770716135586554e-07
820,6.177267096063588e-06
821,3.2510785175077217e-09
822,8.442214927129044e-09
823,3.307900442450773e-06
824,3.555770035745809e-06
825,3.9195379031298216e-07
826,2.7462135676614707e-08
827,0.0002307305549038574
828,2.7275715183350258e-05
829,1.733198295994498e-08
830,5.891896535104024e-07
831,4.4461835102538316e-08
832,2.833476786534561e-10
833,1.9532653539044986e-07
834,5.179039419545006e-10
835,6.723016849718988e-05
836,3.750172794525497e-08
837,3.191238988620171e-07
838,0.00013836500875186175
839,2.162669989047572e-05
840,0.003090482670813799
841,4.8555011744610965e-06
842,0.0038607409223914146
843,2.712225978029892e-05
844,3.215171773263137e-06
845,6.519722717257537e-08
846,5.095608823779685e-09
847,3.866351835313253e-05
848,2.1589812604361214e-05
849,1.5320065216428702e-08
850,0.00026032092864625156
