,rank
2315,8
2316,13
2317,5
2318,8
2319,8
2320,5
2321,4
2322,5
2323,7
2324,13
2325,5
2326,10
2327,7
2328,9
2329,9
2330,10
2331,26
2332,20
2333,5
2334,9
2335,12
2336,11
2337,6
2338,13
2339,7
2340,5
2341,6
2342,8
2343,5
2344,6
2345,6
2346,3
2347,4
2348,17
2349,13
2350,14
2351,7
2352,11
2353,15
2354,8
2355,13
2356,18
2357,6
2358,6
2359,5
2360,4
2361,6
2362,12
2363,5
2364,13
2365,43
2366,7
2367,7
2368,12
2369,7
2370,5
2371,5
2372,28
2373,5
2374,8
2375,4
2376,5
2377,4
2378,8
2379,13
2380,10
2381,5
2382,9
2383,9
2384,22
2385,8
2386,27
2387,6
2388,7
2389,14
2390,7
2391,5
2392,15
2393,7
2394,11
2395,9
2396,9
2397,7
2398,12
2399,10
2400,15
2401,6
2402,6
2403,6
2404,5
2405,6
2406,3
2407,6
2408,12
2409,11
2410,9
2411,3
2412,6
2413,4
2414,11
2415,14
2416,5
2417,5
2418,10
2419,10
2420,6
2421,10
2422,7
2423,6
2424,5
2425,9
2426,6
2427,10
2428,5
2429,21
2430,6
2431,7
2432,12
2433,6
2434,6
2435,8
2436,6
2437,7
2438,9
2439,7
2440,4
2441,9
2442,27
2443,8
2444,7
2445,9
2446,6
2447,18
2448,5
2449,7
2450,35
2451,13
2452,6
2453,9
2454,13
2455,7
2456,7
2457,8
2458,9
2459,5
2460,10
2461,5
2462,12
2463,8
2464,13
2465,18
2466,7
2467,6
2468,4
2469,8
2470,10
2471,6
2472,8
2473,20
2474,6
2475,11
2476,7
2477,8
2478,7
2479,4
2480,7
2481,7
2482,5
2483,5
2484,5
2485,8
2486,7
2487,14
2488,12
2489,9
2490,6
2491,7
2492,6
2493,7
2494,6
2495,8
2496,7
2497,6
2498,11
2499,4
2500,4
2501,13
2502,9
2503,3
2504,5
2505,7
2506,5
2507,12
2508,3
2509,7
2510,16
2511,14
2512,7
2513,6
2514,13
2515,11
2516,6
2517,6
2518,27
2519,4
2520,9
2521,3
2522,8
2523,10
2524,10
2525,7
2526,9
2527,10
2528,16
2529,13
2530,16
2531,12
2532,14
2533,11
2534,3
2535,3
2536,8
2537,18
2538,37
2539,7
2540,4
2541,15
2542,4
2543,7
2544,5
2545,6
2546,6
2547,5
2548,7
2549,6
2550,3
2551,20
2552,16
2553,12
2554,9
2555,12
2556,7
2557,6
2558,7
2559,5
2560,6
2561,5
2562,7
2563,13
2564,8
2565,16
2566,6
2567,7
2568,8
2569,20
2570,11
2571,10
2572,10
2573,6
2574,5
2575,14
2576,15
2577,3
2578,10
2579,19
2580,5
2581,11
2582,8
2583,3
2584,13
2585,5
2586,5
2587,9
2588,8
2589,7
2590,12
2591,7
2592,10
2593,5
2594,7
2595,11
2596,10
2597,4
2598,6
2599,11
2600,5
2601,8
2602,5
2603,21
2604,5
2605,8
2606,5
2607,9
2608,10
2609,18
2610,5
2611,7
2612,12
2613,5
2614,6
2615,3
2616,10
2617,7
2618,8
2619,9
2620,10
2621,13
2622,9
2623,7
2624,7
2625,5
2626,8
2627,4
2628,8
2629,5
2630,5
2631,6
2632,20
2633,7
2634,6
2635,6
2636,7
2637,5
2638,11
2639,10
2640,5
2641,9
2642,10
2643,7
2644,10
2645,5
2646,4
2647,11
2648,15
2649,8
2650,4
2651,11
2652,5
2653,11
2654,8
2655,7
2656,11
2657,7
2658,16
2659,20
2660,8
2661,6
2662,9
2663,12
2664,19
2665,6
2666,7
2667,12
2668,10
2669,12
2670,10
2671,6
2672,7
2673,5
2674,7
2675,5
2676,9
2677,8
2678,15
2679,7
2680,6
2681,9
2682,9
2683,5
2684,12
2685,6
2686,11
2687,4
2688,7
2689,5
2690,12
2691,7
2692,3
2693,7
2694,29
2695,8
2696,5
2697,11
2698,2
2699,15
2700,6
2701,3
2702,9
2703,8
2704,11
2705,23
2706,24
2707,13
2708,8
2709,4
2710,3
2711,6
2712,10
2713,4
2714,13
2715,13
2716,6
2717,4
2718,4
2719,3
2720,6
2721,20
2722,7
2723,5
2724,16
2725,11
2726,16
2727,6
2728,12
2729,5
2730,18
2731,8
2732,6
2733,7
2734,8
2735,14
2736,9
2737,16
2738,6
2739,5
2740,6
2741,13
2742,9
2743,7
2744,19
2745,5
2746,2
2747,9
2748,6
2749,9
2750,7
2751,4
2752,8
2753,7
2754,10
2755,9
2756,5
2757,15
2758,8
2759,11
2760,13
2761,5
2762,3
2763,10
2764,7
2765,12
2766,11
2767,6
2768,9
2769,7
2770,9
2771,10
2772,11
2773,5
2774,7
2775,8
2776,6
2777,6
2778,5
2779,6
2780,7
2781,5
2782,5
2783,11
2784,9
2785,26
2786,12
2787,9
2788,9
2789,8
2790,8
2791,6
2792,16
2793,11
2794,26
2795,7
2796,9
2797,6
2798,5
2799,8
2800,4
2801,9
2802,7
2803,9
2804,5
2805,12
2806,5
2807,19
2808,7
2809,5
2810,14
2811,6
2812,6
2813,5
2814,6
2815,10
2816,17
2817,9
2818,7
2819,5
2820,6
2821,12
2822,9
2823,9
2824,6
2825,10
2826,5
2827,16
2828,10
2829,7
2830,5
2831,7
2832,6
2833,11
2834,11
2835,12
2836,7
2837,6
2838,8
2839,13
2840,9
2841,4
2842,18
2843,4
2844,28
2845,8
2846,7
2847,13
2848,10
2849,3
2850,5
2851,7
2852,8
2853,6
2854,6
2855,13
2856,6
2857,21
2858,12
2859,5
2860,5
2861,9
2862,9
2863,6
2864,6
2865,15
2866,7
2867,6
2868,6
2869,12
2870,7
2871,6
2872,5
2873,16
2874,5
2875,9
2876,7
2877,10
2878,5
2879,3
2880,7
2881,6
2882,9
2883,12
2884,16
2885,8
2886,9
2887,13
2888,3
2889,5
2890,3
2891,15
2892,10
2893,7
2894,8
2895,6
2896,6
2897,6
2898,7
2899,13
2900,7
2901,5
2902,6
2903,9
2904,6
2905,4
2906,8
2907,7
2908,12
2909,7
2910,11
2911,12
2912,4
2913,6
2914,15
2915,8
2916,6
2917,8
2918,8
2919,4
2920,5
2921,21
2922,5
2923,3
2924,16
2925,8
2926,25
2927,8
2928,13
2929,5
2930,4
2931,8
2932,6
2933,5
2934,6
2935,7
2936,8
2937,9
2938,9
2939,6
2940,18
2941,12
2942,8
2943,13
2944,16
2945,4
2946,7
2947,6
2948,13
2949,13
2950,6
2951,17
2952,8
2953,10
2954,10
2955,9
2956,14
2957,6
2958,7
2959,6
2960,6
2961,3
2962,11
2963,8
2964,13
2965,9
2966,9
2967,7
2968,14
2969,15
2970,7
2971,5
2972,9
