,rank
2369,6
2370,6
2371,5
2372,12
2373,3
2374,5
2375,8
2376,5
2377,8
2378,7
2379,8
2380,7
2381,7
2382,8
2383,6
2384,8
2385,9
2386,5
2387,3
2388,9
2389,6
2390,8
2391,6
2392,15
2393,6
2394,1
2395,5
2396,13
2397,7
2398,7
2399,8
2400,2
2401,7
2402,1
2403,6
2404,6
2405,8
2406,12
2407,6
2408,9
2409,7
2410,9
2411,3
2412,3
2413,5
2414,7
2415,6
2416,8
2417,5
2418,7
2419,2
2420,3
2421,8
2422,2
2423,3
2424,24
2425,6
2426,9
2427,8
2428,2
2429,5
2430,7
2431,2
2432,5
2433,6
2434,7
2435,7
2436,5
2437,5
2438,4
2439,3
2440,6
2441,3
2442,4
2443,2
2444,6
2445,4
2446,7
2447,5
2448,4
2449,5
2450,8
2451,8
2452,7
2453,7
2454,8
2455,4
2456,8
2457,8
2458,5
2459,7
2460,4
2461,5
2462,2
2463,5
2464,6
2465,8
2466,5
2467,11
2468,9
2469,7
2470,10
2471,8
2472,2
2473,10
2474,7
2475,3
2476,10
2477,8
2478,8
2479,7
2480,7
2481,7
2482,6
2483,9
2484,7
2485,8
2486,13
2487,7
2488,9
2489,5
2490,5
2491,7
2492,5
2493,5
2494,9
2495,5
2496,6
2497,8
2498,5
2499,2
2500,6
2501,6
2502,9
2503,11
2504,2
2505,5
2506,8
2507,7
2508,5
2509,6
2510,6
2511,4
2512,4
2513,4
2514,8
2515,7
2516,10
2517,6
2518,4
2519,7
2520,20
2521,2
2522,5
2523,12
2524,8
2525,7
2526,5
2527,6
2528,8
2529,5
2530,7
2531,5
2532,3
2533,7
2534,5
2535,6
2536,6
2537,7
2538,7
2539,7
2540,6
2541,8
2542,7
2543,8
2544,6
2545,6
2546,3
2547,4
2548,5
2549,4
2550,5
2551,7
2552,8
2553,3
2554,8
2555,5
2556,5
2557,7
2558,12
2559,8
2560,8
2561,6
2562,8
2563,3
2564,10
2565,6
2566,8
2567,5
2568,6
2569,9
2570,8
2571,4
2572,9
2573,6
2574,3
2575,3
2576,3
2577,8
2578,4
2579,5
2580,6
2581,5
2582,3
2583,5
2584,7
2585,7
2586,7
2587,5
2588,7
2589,5
2590,11
2591,5
2592,2
2593,7
2594,5
2595,5
2596,8
2597,5
2598,6
2599,2
2600,8
2601,5
2602,7
2603,6
2604,8
2605,7
2606,5
2607,6
2608,5
2609,10
2610,5
2611,7
2612,7
2613,9
2614,5
2615,18
2616,3
2617,3
2618,4
2619,5
2620,6
2621,11
2622,4
2623,3
2624,3
2625,8
2626,4
2627,8
2628,6
2629,7
2630,7
2631,6
2632,6
2633,5
2634,5
2635,3
2636,7
2637,7
2638,7
2639,7
2640,6
2641,7
2642,6
2643,3
2644,5
2645,5
2646,7
2647,6
2648,7
2649,5
2650,5
2651,4
2652,7
2653,6
2654,7
2655,7
2656,5
2657,8
2658,4
2659,19
2660,6
2661,5
2662,8
2663,5
2664,5
2665,6
2666,4
2667,9
2668,6
2669,3
2670,5
2671,5
2672,6
2673,9
2674,9
2675,8
2676,3
2677,7
2678,10
2679,7
2680,10
2681,5
2682,5
2683,4
2684,7
2685,5
2686,2
2687,8
2688,12
2689,4
2690,6
2691,7
2692,5
2693,7
2694,3
2695,5
2696,9
2697,8
2698,8
2699,8
2700,5
2701,10
2702,8
2703,5
2704,7
2705,8
2706,10
2707,3
2708,9
2709,7
2710,9
2711,7
2712,5
2713,5
2714,8
2715,12
2716,6
2717,6
2718,6
2719,4
2720,9
2721,9
2722,8
2723,5
2724,3
2725,9
2726,6
2727,6
2728,5
2729,3
2730,9
2731,9
2732,7
2733,2
2734,7
2735,7
2736,7
2737,7
2738,7
2739,7
2740,6
2741,4
2742,9
2743,3
2744,6
2745,3
2746,4
2747,10
2748,3
2749,7
2750,4
2751,6
2752,7
2753,3
2754,6
2755,3
2756,8
2757,7
2758,8
2759,6
2760,7
2761,4
2762,5
2763,7
2764,9
2765,7
2766,6
2767,5
2768,7
2769,2
2770,2
2771,6
2772,6
2773,8
2774,5
2775,4
2776,7
2777,4
2778,4
2779,6
2780,4
2781,6
2782,6
2783,5
2784,1
2785,8
2786,8
2787,4
2788,6
2789,6
2790,6
2791,8
2792,8
2793,7
2794,5
2795,5
2796,7
2797,6
2798,4
2799,4
2800,16
2801,3
2802,7
2803,6
2804,6
2805,6
2806,8
2807,8
2808,6
2809,6
2810,5
2811,6
2812,9
2813,6
2814,3
2815,12
2816,4
2817,11
2818,5
2819,10
2820,7
2821,5
2822,10
2823,7
2824,4
2825,5
2826,7
2827,7
2828,7
2829,7
2830,5
2831,7
2832,5
2833,8
2834,3
2835,8
2836,6
2837,17
2838,14
2839,4
2840,9
2841,5
2842,6
2843,6
2844,6
2845,8
2846,7
2847,6
2848,6
2849,7
2850,10
2851,4
2852,6
2853,6
2854,6
2855,7
2856,7
2857,8
2858,3
2859,5
2860,3
2861,5
2862,3
2863,2
2864,5
2865,7
2866,5
